报告日,经营活动产生的现金流量,销售商品、提供劳务收到的现金,客户存款和同业存放款项净增加额,向中央银行借款净增加额,向其他金融机构拆入资金净增加额,收到原保险合同保费取得的现金,收到再保险业务现金净额,保户储金及投资款净增加额,处置交易性金融资产净增加额,收取利息、手续费及佣金的现金,拆入资金净增加额,回购业务资金净增加额,收到的税费返还,收到的其他与经营活动有关的现金,经营活动现金流入小计,购买商品、接受劳务支付的现金,客户贷款及垫款净增加额,存放中央银行和同业款项净增加额,支付原保险合同赔付款项的现金,支付利息、手续费及佣金的现金,支付保单红利的现金,支付给职工以及为职工支付的现金,支付的各项税费,支付的其他与经营活动有关的现金,经营活动现金流出小计,经营活动产生的现金流量净额,投资活动产生的现金流量,收回投资所收到的现金,取得投资收益收到的现金,处置固定资产、无形资产和其他长期资产所收回的现金净额,处置子公司及其他营业单位收到的现金净额,收到的其他与投资活动有关的现金,减少质押和定期存款所收到的现金,处置可供出售金融资产净增加额,投资活动现金流入小计,购建固定资产、无形资产和其他长期资产所支付的现金,投资所支付的现金,质押贷款净增加额,取得子公司及其他营业单位支付的现金净额,增加质押和定期存款所支付的现金,支付的其他与投资活动有关的现金,投资活动现金流出小计,投资活动产生的现金流量净额,筹资活动产生的现金流量,吸收投资收到的现金,子公司吸收少数股东投资收到的现金,取得借款收到的现金,发行债券收到的现金,收到其他与筹资活动有关的现金,筹资活动现金流入小计,偿还债务支付的现金,分配股利、利润或偿付利息所支付的现金,子公司支付给少数股东的股利、利润,支付其他与筹资活动有关的现金,筹资活动现金流出小计,筹资活动产生的现金流量净额,汇率变动对现金及现金等价物的影响,现金及现金等价物净增加额,期初现金及现金等价物余额,现金的期末余额,现金的期初余额,现金等价物的期末余额,现金等价物的期初余额,期末现金及现金等价物余额,数据源,是否审计,公告日期,币种,类型,更新日期
20250930,,138791719991.59,-8659745768.25,,,,,,,2171830654.51,,,,4429717886.39,136733522764.24,8595277757.58,358885355.55,12507272127.36,,105733217.59,,12393481128.92,59108713942.04,7567357079.93,98536720608.97,38196802155.27,,13105136000.0,80202855.44,87042.0,,24708323.39,,,13210134220.83,2282862269.89,16345831315.16,,,,4808731.52,18633502316.57,-5423368095.74,,,,,,,0.0,,37212595804.69,2541434067.5,6031207701.59,43243803506.28,-43243803506.28,2742531.2,-10467626915.55,169970089257.83002,,,,,159502462342.28,定期报告,未审计,20251030,CNY,合并期末,2025-10-29T18:12:19
20250630,,95086614960.23,-2516653584.5,,,,,,,1473395060.41,,,,3959173739.04,98002530175.18,6076043334.62,-254734305.26,25410788169.25,,43850389.39,,9965785368.0,41669889456.55,4071846731.3,84883469143.85,13119061031.33,,1345136000.0,37526953.08,47377.0,,2342622.58,,,1385052952.66,1595995809.23,100000000.0,,,,3408107.12,1699403916.35,-314350963.69,,,,,,,0.0,,34671161737.19,,5221651894.59,39892813631.78,-39892813631.78,3276962.98,-27084826601.16,169970089257.83002,134399293656.67,164297949257.83002,8485969000.0,5672140000.0,142885262656.67,定期报告,未审计,20250813,CNY,合并期末,2025-08-12T20:32:03
20250331,,56144062118.93,-8012747752.04,,,,,,,763757661.18,,,,1689179261.8,50584251289.87,2663148395.47,-575715067.22,10297395362.38,,33147052.55,,7662338317.82,22168159368.57,1126582213.92,41775055643.49,8809195646.38,,245136000.0,32397280.0,7752.0,,1691980.7,,,279233012.7,901104348.81,,,,,2350617.67,903454966.48,-624221953.78,,,,,,,0.0,,,,1607488478.75,1607488478.75,-1607488478.75,832584.65,6578317798.5,169970089257.83002,,,,,176548407056.33,定期报告,未审计,20250430,CNY,合并期末,2025-04-29T17:54:07
20241231,,182645203339.89,11060205782.1,,,,,,,3122827833.43,,,,3258097705.14,200086334660.56,10824874163.03,262376929.65,-4585245646.29,,97061751.28,,15352541000.17,77055621533.11,9015412761.18,107622642492.13,92463692168.43,,8550000000.0,92382151.66,715708.44,,5532536.42,,,8648630396.52,4678712053.56,5745136000.0,,,,9984973.67,10433833027.23,-1785202630.71,,,,,,,0.0,,70951027702.94,2164148570.54,116478781.87,71067506484.81,-71067506484.81,-1082747.55,19609900305.36,150360188952.47,164297949257.83002,147360188952.47,5672140000.0,3000000000.0,169970089257.83002,定期报告,是,20250403,CNY,合并期末,2025-04-02T21:15:06
20240930,,129685318970.82,394283234.48,,,,,,,2181721943.36,,,2818171.29,2374170205.15,134638312525.1,8148825214.67,464241534.03,5154820988.02,,66013822.7,,12669415741.48,56721478607.21,6992130399.54,90216926307.65,44421386217.45,,6200000000.0,68399488.96,75010.5,,5532536.42,,,6274007035.88,2874366279.39,4000000000.0,,,,5049812.44,6879416091.83,-605409055.95,,,,,,,0.0,,38942461843.34,156098570.54,46854621.47,38989316464.81,-38989316464.81,-65439.09,4826595257.6,150360188952.47,,,,,155186784210.07,定期报告,未审计,20251030,CNY,合并期末,2024-10-25T18:10:06
20240630,,87093638361.68,11489834329.99,,,,,,,1396614266.27,,,2818171.29,2259241541.83,102242146671.06,4959765138.84,705033679.54,7196590763.0,,27315638.38,,10031971465.62,38982312154.27,4017324018.78,65620312858.43,36621833812.63,,2600000000.0,31308120.34,74525.5,,5232536.42,,,2636615182.26,1530991618.84,4000000000.0,,,,4483784.56,5535475403.4,-2898860221.14,,,,,,,0.0,,38786363272.8,,29276705.27,38815639978.07,-38815639978.07,-698994.84,-5093365381.42,150360188952.47,138266823571.05,147360188952.47,7000000000.0,3000000000.0,145266823571.05,定期报告,未审计,20250813,CNY,合并期末,2024-08-08T19:30:05
20240331,,46257239517.26,-3654295366.51,,,,,,,714694678.58,,,,1228034207.29,44545673036.62,1515871851.97,487441031.54,3486184255.71,,18533470.98,,7199768652.65,20727491111.84,2422960246.84,35358250621.53,9187422415.09,,,27478516.34,66025.5,,5122201.62,,,32666743.46,796091344.46,,,,,3090126.33,799181470.79,-766514727.33,,,,,,,0.0,,,,11756332.28,11756332.28,-11756332.28,-671828.05,8408479527.43,150360188952.47,,,,,158768668479.9,定期报告,未审计,20250430,CNY,合并期末,2024-04-26T20:45:05
20231231,,163699909417.62,-810223002.76,,,,,,,3018786023.42,,,1500047.04,2346196470.63,168256168955.95,11029476036.21,-2051930316.19,1570003429.01,,142896151.21,,13845293907.26,66683472509.22,7943709518.14,101662921234.86,66593247721.09,,7549947301.15,140715000.0,24948352.95,,4605886.63,,,7720216540.73,2619755888.79,14817852800.0,,,,7021867.1,17444630555.89,-9724414015.16,,,,,,,0.0,,58754786730.01,2204530367.41,134315261.93,58889101991.94,-58889101991.94,1718255.65,-2018550030.36,152378738982.83002,147360188952.47,152378738982.83002,3000000000.0,,150360188952.47,定期报告,是,20250403,CNY,合并期末,2024-04-02T22:15:03
20230930,,111254177296.75,-3361253507.79,,,,,,,2334503130.26,,,1500047.04,2281538381.49,112510465347.75,7831989952.73,-1847134165.69,-11235675166.82,,64115879.87,,11136061054.97,49076873862.34,4982226911.69,62508458329.09,50002007018.66,,2000000000.0,129083173.8,934670.0,,3726793.63,,,2133744637.43,1944592847.27,8499520000.0,,,,6071248.1,10450184095.37,-8316439457.94,,,,,,,0.0,,34661430615.94,2112089420.14,63292186.54,34724722802.48,-34724722802.48,634953.85,6961479712.09,152378738982.83002,,,,,159340218694.92,定期报告,未审计,20241026,CNY,合并期末,2023-10-20T19:20:04
20230630,,69072814324.04,-3589535738.78,,,,,,,1762971275.17,,,1500047.04,1541745123.98,68789495031.45,6073709514.8,-2162403201.6,-10295381235.93,,43807861.03,,9000043619.79,32876326545.86,2866213732.54,38402316836.49,30387178194.96,,2000000000.0,127680000.0,806414.0,,1273019.53,,,2129759433.53,1404941586.17,1199520000.0,,,,5439532.7,2609901118.87,-480141685.34,,,,,,,0.0,,32549341195.8,,48152214.51,32597493410.31,-32597493410.31,1917096.54,-2688539804.15,152378738982.83002,144219657178.68,152378738982.83002,5470542000.0,,149690199178.68,定期报告,未审计,20240809,CNY,合并期末,2023-08-02T19:20:04
